子供{{c1::あっての}}我が家、子供がいなかったら、即離婚だな。	あっての<br>あればの<br>あったの<br>あるべき
あのレストランの料理は量{{c1::といい　といい}}味{{c1::といい　といい}}文句のつけようがない。	といい　といい<br>をよそに　をよそに<br>をかね　をかね<br>とに　とに
駅前のスーパーまで散歩{{c1::がてら}}買い物に行った。	がてら<br>につれて<br>にともなって<br>かたわら
犯人は買い物をしていた{{c1::ところを}}警官に逮捕された。	ところを<br>ところに<br>あいだ<br>そばから
列にわりこむなど紳士にある{{c1::まじき}}行為だ。	まじき<br>まい<br>らしい<br>べき
ああでもない、こうでもないと迷惑をかけたあげく、あの{{c1::しまつだ}}。	しまつだ<br>かぎりだ<br>しまいだ<br>おわりだ
十代の娘じゃ{{c1::あるまいし}}そんなはでなリボンはつけられませんよ。	あるまいし<br>ありそうに<br>ありながら<br>あるほどに
風呂の水を{{c1::だしっぱなしにして}}出かけてしまった。	だしっぱなしにして<br>だしにして<br>だしつつ<br>だしおいて
あの患者は重い病気のため、一人では食事{{c1::すらできない}}。	すらできない<br>せしめるほどだ<br>だにとっている<br>せずにはおかない
今年の米は温暖な気候と適度な雨量とが{{c1::あいまって}}豊作となった。	あいまって<br>あざむいて<br>あてがって<br>あたいして
動物保護に{{c1::かかわる}}重要な環境問題について真剣に議論した。	かかわる<br>おうして<br>よって<br>まもる
彼が秘密を外部にもらしたことは想像に{{c1::かたくない}}。	かたくない<br>こえる<br>かたい<br>こえない
国防費を{{c1::かわきりに}}種々の予算が見直され始めた。	かわきりに<br>ばかりに<br>あっての<br>みなして
任務{{c1::とはいえ}}あの南極で長い冬を過ごすのは大変なことだろう。	とはいえ<br>とばかりに<br>といえば<br>ともなく
今回の出版に関してご配慮をたまわり感謝に{{c1::たえません}}。	たえません<br>やむをえません<br>こたえません<br>そえません
他の人にとって厳しいトレーニングでも、あの運動は山田さんにとってはちょうどいい散歩{{c1::といったところだ}}。	といったところだ<br>といったかもしれない<br>といえばこそだ<br>というにはあたらない
彼女の今までの苦労を知っているので、留学が決まったときあれほど喜んだ気持ちが{{c1::わからないでもない}}。	わからないでもない<br>わからなかった<br>わかるものではない<br>わかったものではない
あの作家は天才なのだから、わずか３日で傑作を書いたからといって、驚く{{c1::にはあたらない}}。	にはあたらない<br>べきことだ<br>にきまっている<br>にちがいない
毎日遅刻せずに会社に来るとはいえ、その仕事ぶりは{{c1::ひどいといったらない}}。	ひどいといったらない<br>ひどいわけではない<br>ひどくはなかった<br>ひどいはずがない
話をおもしろくするためだろうか、あの人はものごとを大げさに言う{{c1::きらいがある}}。	きらいがある<br>きらいではない<br>きらいらしい<br>きらいがない
勉強よりまず健康のことを考えるべきだ。試験に合格しても、病気になってしまったら{{c1::それまでだ}}。	それまでだ<br>それからだ<br>それほどだ<br>それのみだ
息子は一流の音楽家になるといって家を出た。大変だが、きっと目的を達成せずには{{c1::おかないだろう}}。	おかないだろう<br>おくことはない<br>おいてあった<br>おくべきではない
悪条件を{{c1::ものともせず}}、参加者全員が見事にゴールインした。	ものともせず<br>ものとして<br>ものならず<br>ものながら
朝起きてまずお茶を飲むことが習慣になっている。お茶{{c1::なしには}}一日が始まらない。	なしには<br>なければ<br>ないので<br>ないのに
年を取るに{{c1::つれて}}私も父親に言われたことと同じことを自分の子どもに言うようになってきた。	つれて<br>そって<br>ひきかえ<br>しても
何ヶ月も前から準備してきたからには失敗{{c1::するはずがない}}と思うが、不安が残る。	するはずがない<br>せざるをえない<br>するかもしれない<br>せずにはいられない
おくびょうで{{c1::あればこそ}}、用心深くなり、危険を避けることができるのだ。	あればこそ<br>あるがまま<br>ありえず<br>あってさえ
あの名人も初めからこんなに仕事ができたわけではない。若いころは、先輩のやることを見て、できない{{c1::ながらも}}その真似をしていたのだった。	ながらも<br>つつも<br>たりとも<br>からでも
太陽と{{c1::いえども}}永遠に輝いているわけではない。いつかは消え去るときがくる。	いえども<br>いったらば<br>いえばこそ<br>いったからには
彼の栄光は、きびしいレースを勝ち{{c1::ぬいた}}末に獲得したものだ。	ぬいた<br>ぬく<br>ぬいて<br>ぬき
小さい頃、よく泥{{c1::まみれ}}になって弟とけんかをしたものだ。	まみれ<br>ずくめ<br>ばかり<br>みずく
喫茶店で、となりの席の話を聞く{{c1::ともなしに}}聞いていたら、私の会社のことだったので驚いた。	ともなしに<br>のみならず<br>ばかりか<br>どころではなく
子どものころ、死については{{c1::考える}}だに恐ろしかった。	考える<br>考えた<br>考えて<br>考え
あの時もっとがんばっていれば、と後悔してみた{{c1::ところ}}で、今更しようがない。	ところ<br>もの<br>こと<br>の
あの人は話好きで、目が{{c1::あったが}}最後、最低30分は放してくれない。	あったが<br>あったの<br>あうのに<br>あったから
他人を犠牲にする{{c1::こと}}なしに、個人の望みを達成することは困難だと考えている人もいます。	こと<br>の<br>もの<br>ところ
あそこの家の父親は、毎日朝から酒を飲んで暴れている。息子は仕事もせず賭事に夢中になっている。まったく、父も父{{c1::なら}}子も子だ。	なら<br>では<br>と<br>にして
「考えてみます」と言われたので、了承されたと{{c1::思いきや}}、実はそれは「お断りします」という意味だった。	思いきや<br>思っても<br>思ったり<br>思いゆえ
この困難な任務を果たせるのは、彼{{c1::を}}おいてほかにはいない。	を<br>は<br>に<br>で
環境問題の解決策を{{c1::めぐって}}、熱心な議論が続いている。	めぐって<br>通じて<br>まわって<br>こめて
この問題については、あなた{{c1::なりの}}お考えがおありでしょうが、ここのところは私の言うとおりにしてください。	なりの<br>なみの<br>次第の<br>向きの
その赤ん坊は、私が抱きあげたら今にも泣き{{c1::出さん}}ばかりの顔をした。	出さん<br>出さ<br>出す<br>出した
彼はとても忙しいらしい。食事を{{c1::とる}}が早いか、すぐに飛びだしていった。	とる<br>とり<br>とって<br>とろう
詳しくお話を{{c1::うかがって}}からでないと、お答えできません。	うかがって<br>うかがう<br>うかがった<br>うかがい
自分のことだけではなく、相手の立場に立って考えることのできる人、それが大人という{{c1::もの}}だ。	もの<br>ひと<br>ほう<br>ところ
彼は読書が好きだが、読んだそば{{c1::から}}何を読んだか忘れてしまい、同じ本を何冊も買ってしまう。	から<br>で<br>に<br>まで
経済問題の解決には、政府や企業の対応もさること{{c1::ながら}}、消費者の態度も重要な要素となる。	ながら<br>であり<br>でなく<br>とともに
徹夜は{{c1::しないまでも}}、せめて夜１２時くらいまでは勉強したほうがいいいんじゃないですか。	しないまでも<br>するまでも<br>しないほどで<br>するほどで
とにかく事故現場をこの目で{{c1::見ない}}ことには、対策はたてられません。	見ない<br>見る<br>見た<br>見なかった
チンパンジーは人間の模倣を{{c1::する}}のみならず、互いに協力して共同作業をしているらしいという報告もある。	する<br>して<br>せず<br>しまい
実際に読んでみて{{c1::はじめて}}、古典のおもしろさを知った。	はじめて<br>はじめで<br>はじめ<br>はじめると
半導体に対する需要は、ここ数年、以前{{c1::に}}もまして高まっている。	に<br>から<br>で<br>まで
お世話になった先生に頼まれた{{c1::からには}}、ことわるわけにはいかない。	からには<br>からでは<br>までには<br>まででは
「これが最近書いた本なんですが、あなたにさしあげますから、どうぞお読みください。」「はい、{{c1::拝見させて}}いただきます。」	拝見させて<br>ご覧になって<br>拝見して<br>ご覧にならせて
「先生の奥様はどの方かご存じですか。」「あそこの{{c1::お年}}を召していらっしゃるご婦人です。」	お年<br>年<br>年齢<br>お年齢
帰国する日にパスポートをホテルに置き忘れてくるなんて、いかにも彼の{{c1::やりそうなことだ}}。	やりそうなことだ<br>やりたいことだ<br>やるべきことだ<br>やるらしいことだ
不景気になってからというもの、長年、会社に貢献してきた人でさえ、会社を{{c1::やめさせられている}}。	やめさせられている<br>やめられないですむ<br>やめさせるまでもない<br>やめないではおかない
運転手が教えてくれたからよかったものの、もう少しで大切な卒業論文をタクシーの中に{{c1::忘れるところだった}}。	忘れるところだった<br>忘れるところだろう<br>忘れないところだった<br>忘れるところではなかった
彼が生活に困っているというから、お金を貸したのに、そのまま姿を消してしまい、今となっては{{c1::あきらめるよりほかない}}　。	あきらめるよりほかない<br>あきらめかねない<br>あきらめるまでもない<br>あきらめきれない
慎重なあの人に限って、そんなミスを{{c1::おかすはずがない}}。	おかすはずがない<br>おかしてばかりいる<br>おかさないではいられない<br>おかそうとしている
苦難に満ちたあの人の人生は、涙なくしては{{c1::語れない}}。	語れない<br>語らない<br>語れる<br>語る
信じられないことだが、これだけ証拠があがっているのだから、事実{{c1::に相違ない}}。	に相違ない<br>に決まっていない<br>にちがわない<br>にことならない
もう少し考える時間をくれれば、やら{{c1::ないこともない}}。	ないこともない<br>なければならない<br>ないこともある<br>ずにはいられない
私だけが悪いのではないのに、みんなが私一人が悪いと言ったので、くやしく{{c1::てならない}}。	てならない<br>てなるべきだ<br>てならなくない<br>てなればいい
彼が自分でやると言ったのだから、忙しいあなたがなにもてつだう{{c1::ことはない}}。	ことはない<br>ことだ<br>ことにした<br>こともある
勉強第一と言っても、勉強時間が長ければいい{{c1::というものではない}}。	というものではない<br>というわけだ<br>といえばいい<br>というものだ
したい、したくない、という気持ちの問題ではない。公言した以上、せ{{c1::ざるをえない}}のだ。	ざるをえない<br>ざらなければならない<br>ずをえない<br>ずのえない
人を信用させるには、うそをつかない{{c1::ことだ}}。	ことだ<br>わけだ<br>ほうだ<br>ぐらいだ
この学校では学生が教室をそうじする{{c1::ことになっている}}。	ことになっている<br>ことにきめかねない<br>ことにならない<br>ことにきめられた
これ以上大きな地震は、あと100年は起こる{{c1::まい}}。	まい<br>はず<br>わけ<br>こと
こんな難しい問題、君なんかにできっ{{c1::こない}}。	こない<br>たっけ<br>ない<br>そう
欲しくて{{c1::たまらない}}カメラがあるが、高くて、手に入れられない。	たまらない<br>がまんする<br>ならない<br>たえられない
こんな大金、親が貸してくれる{{c1::わけはない}}。	わけはない<br>わけではない<br>つもりはない<br>たとえはない
うわさ話をみんなに{{c1::話したくて}}しようがない。	話したくて<br>話したいので<br>話したところ<br>話したがって
9月から、私鉄、地下鉄の運賃が値上げされる{{c1::ということだ}}。	ということだ<br>といえなくもない<br>といえるだろう<br>ということになった
会社を首になり、不況で次の仕事もみつからず、親からの借金は増える{{c1::一方だ}}。	一方だ<br>ましだ<br>片方だ<br>両方だ
子どもは親の言うことを聞く{{c1::ものだ、ものではない}}。親に逆らう{{c1::ものだ、ものではない}}。	ものだ、ものではない<br>はずだ、はずではない<br>わけだ、わけではない<br>ことだ、ことではない
そんな自分勝手なことが、社会に通る{{c1::わけはない}}。	わけはない<br>ことはない<br>つもりはない<br>たとえはない
人の気も知らないで、もうあんなやつのことなんか、心配してやる{{c1::ものか}}。	ものか<br>ぐらいか<br>ほどか<br>ことか
さあ、元気を出して、今度こそ、優勝してみせ{{c1::ようではないか}}。	ようではないか<br>ましょうか<br>るでしょうか<br>るべきでしょうか
日本では、いいことが重なって起きると、「盆と正月がいっしょにやってきた{{c1::かのようだ}}」と言う。	かのようだ<br>とみたいだ<br>といえるだろう<br>かとらしい
この病気は感染する{{c1::おそれ}}があるので、すぐ隔離してください。	おそれ<br>ため<br>わけ<br>もの
彼のほうが悪いんだから、きみが謝る{{c1::ことはない}}。	ことはない<br>ことだ<br>ことにした<br>こともある
用事があって電話{{c1::したところ}}、留守だった。	したところ<br>しているところ<br>するところ<br>しようところ
先生が言った{{c1::とおりに}}勉強すれば、能力試験に合格できますよ。	とおりに<br>とともに<br>ところに<br>として
人生について考えすぎ{{c1::たあまり}}髪が薄くなった。	たあまり<br>たこそ<br>たさえ<br>たばかり
親にさんざん迷惑をかけ{{c1::たあげく}}、飛び降り自殺してしまった彼の人生は一体なんだったんだろう。	たあげく<br>たからは<br>たので<br>たはずで
展覧会が中止になった{{c1::うえは}}、この後の対策を至急考えなければならない。	うえは<br>からは<br>のにも<br>としても
留学{{c1::を契機に}}、生まれて初めて家族と離れ、一人暮らしをすることになった。	を契機に<br>を起点に<br>をはじめ<br>の際
私は彼が嫌いだ。ものの言い方{{c1::からして}}気に入らない。	からして<br>からは<br>からすると<br>からには
ベッドの上に寝た{{c1::きり}}だった病人が、起き上がれるようになった。	きり<br>から<br>のみ<br>とか
4月に入学し{{c1::て以来}}、１日も休んだことのないＡさんが１週間も顔を見せない。	て以来<br>て以内<br>て以上<br>て以外
悪いことをしても人に知られ{{c1::ないかぎり}}、黙っていれば大丈夫だと思っている人がいる。	ないかぎり<br>ないぐらい<br>ないから<br>ないほど
あの人は勉強しない{{c1::ばかりか}}、雑誌すら読もうとしない。	ばかりか<br>かぎりか<br>ほどか<br>までか
「あんたなんか、大嫌い」と言って別れた{{c1::ものの}}、時がたつにつれて、だんだん後悔しはじめた。	ものの<br>ものを<br>ものから<br>もので
急ぎの仕事が入った{{c1::ものだから}}、電話もできなくて、ごめん。	ものだから<br>ものの<br>ものを<br>ものだけれど
交通規則{{c1::にしたがって}}運転してください。	にしたがって<br>にさきだって<br>にこたえて<br>にともなって
都市の拡大{{c1::にともなって}}様々な問題が生じてきた。	にともなって<br>しなって<br>にしたがって<br>にくらべて
このドラマは実際に北海道で起きた事件{{c1::にもとづいて}}制作されたものである。	にもとづいて<br>に関して<br>について<br>に際して
あの客は店の品物にいろいろケチをつけて、その{{c1::あげく}}何も買わずに行ってしまった。	あげく<br>ため<br>はず<br>とおり
その湖の美しさ{{c1::と言ったら}}言葉では表現できないほどである。	と言ったら<br>を言えない<br>を言うより<br>を言い
留学生{{c1::にとって}}ビザは大切な問題だ。	にとって<br>について<br>にして<br>にかけて
人が外で待っているの{{c1::にもかまわず}}電話ボックスでながばなしをする若者がいる。	にもかまわず<br>にしても<br>につけ<br>だけに
家族も親戚も反対した{{c1::にもかかわらず}}若い二人はいっしょに暮らしはじめた。	にもかかわらず<br>にせよ<br>のもも<br>からには
どんな事情があった{{c1::にせよ}}すぐ結果を知らせるべきだ。	にせよ<br>につけ<br>にとって<br>にかぎり
手紙{{c1::にしろ、にしろ、}}電話{{c1::にしろ、にしろ、}}親には居場所くらい知らせるものだ。	にしろ、にしろ、<br>やら、やら<br>とか、とか<br>につけ、につけ
煮る{{c1::につけ、につけ}}焼く{{c1::につけ、につけ}}日本料理にしょうゆは欠かせない。	につけ、につけ<br>たり、たり<br>やら、やら<br>や、など
A大学を頂点{{c1::として}}大学のランク付けがされている。	として<br>となって<br>とかけて<br>とかんして
夜明け{{c1::とともに}}出発しましょう。	とともに<br>の際に<br>にかけて<br>につれて
姉は妹の結婚{{c1::をきっかけに}}お見合いにすることになった。	をきっかけに<br>を原因に<br>を起点に<br>をはじめ
オリンピック開催{{c1::を契機に}}経済的に発展していった。	を契機に<br>を期間に<br>を時期に<br>を起点に
私のかさとよく似ていた{{c1::ものだから}}、まちがって友だちのを持ってきてしまった。	ものだから<br>ものを<br>もの<br>ものだけれど
大学生{{c1::を中心に}}反政府活動がくりひろげられた。	を中心に<br>を中に<br>を最中に<br>を軸に
愛情{{c1::をこめて}}作ったケーキ。	をこめて<br>をつめて<br>をふくんで<br>を入れて
コンピューター{{c1::を抜きにして}}今の社会は考えられない。	を抜きにして<br>を考えずに<br>を省いて<br>を置かないで
１年{{c1::を通じて}}、ここの気候は温暖です。	を通じて<br>をかけて<br>をわたって<br>をこえて
テレビ{{c1::をはじめ}}いろいろなメディアに紹介されたおかげで店は繁盛した。	をはじめ<br>を中心に<br>のかわりに<br>のおかげで
実存する人物{{c1::をもとにして}}書かれた小説。	をもとにして<br>をもとでに<br>をもとから<br>をもって
子どものけんかに親が口を出すこと{{c1::からして}}おかしい。	からして<br>からで<br>からまで<br>からには
この参考書を読んでからでないとレポートは{{c1::書けない}}。	書けない<br>書ける<br>書く<br>書くこと
この筆跡{{c1::から見ると}}、本人は意思の強い者と思われる。	から見ると<br>から決めて<br>から思って<br>から書いて
残念な{{c1::ことに}}、今回の企画は中止しなければならなくなった。	ことに<br>ことから<br>ことなんだから<br>ことはない
こんな時間になっても帰らないと、心配症の母の{{c1::ことだから}}、きっと門を出たり入ったりしているだろう。	ことだから<br>はずだから<br>わけだから<br>ものだから
集合時間に遅れたと思って、急いで行った{{c1::ところ}}、何のことはない、まだだれも来ていなかった。	ところ<br>せいで<br>とたん<br>おかげで
就職後のことは{{c1::ともかく}}、まずどの会社に入るかだ。	ともかく<br>どうにか<br>ともども<br>どうにも
学生{{c1::のくせに}}、全然勉強しない。	のくせに<br>のおかげで<br>のせいで<br>のなりに
あの人、言うこと{{c1::のわりに}}、やることはねえ……。	のわりに<br>のせいで<br>のくせに<br>のよりは
孫たちが帰っ{{c1::たとたん}}、部屋の中は静かになった。	たとたん<br>たなり<br>やいなや<br>とおもいきや
さっきまで泣いていた{{c1::かと思ったら}}、もう笑っている。	かと思ったら<br>と思うと<br>と思うなら<br>かと思って
うちの息子は学校から帰ってきて、かばんを置いたか置かない{{c1::かのうちに}}、外へ飛び出して行った。	かのうちに<br>とたん<br>なりに<br>間に
その恥ずかしさ{{c1::と言ったら}}、顔から火が出るほどだった。	と言ったら<br>と言えない<br>と言うと<br>と言い、
このマンションすごいなあ。マンション{{c1::というより}}ヨーロッパのお城って感じだね。	というより<br>といって<br>んほうが<br>のほどが
冬{{c1::はもとより}}夏も人気がある屋内スキー場。	はもとより<br>はもとから<br>はもともと<br>はもとまで
その薬を飲んだ{{c1::とたんに}}、意識がなくなってしまった。	とたんに<br>からには<br>あげくに<br>最中に
有名になればなるほど、社会的な地位が上がるが、{{c1::反面}}プライバシーはなくなっていく。	反面<br>反対<br>反して<br>対して
発車{{c1::の際}}少々ゆれますので、ご注意ください。	の際<br>のおり<br>のころ<br>の末
苦労{{c1::の末}}やああっと栄光をつかんだ。	の末<br>の機<br>の時<br>の際
まじめな話ですからから、冗談{{c1::抜き}}でいきたいと思います。	抜き<br>ぬいて<br>抜く<br>抜かない
この頃、仕事で少々過労{{c1::気味}}なので、疲労回復の注射でも打ってもらえませんか。	気味<br>すぎ<br>がち<br>ばて
彼女のどこかさびし{{c1::げ}}な横顔にひかれる。	げ<br>さ<br>い<br>み
相手先の返事{{c1::次第で}}、この取り引きはだめになるかもしれない。	次第で<br>からして<br>によりて<br>間際で
出席簿{{c1::上は}}いることになっているが、まだ一度も顔を見たことがない。本当にうちの学生？	上は<br>下は<br>中は<br>面は
子どもの話をうそと知り{{c1::つつ}}、お金を渡す母であった。	つつ<br>まま<br>ても<br>たり
子どもだと思っていたが、もう17歳なのか。道理で最近、大人{{c1::っぽく}}なってきたと思ったよ。	っぽく<br>っぽいに<br>っぽいと<br>っぽに
外国人{{c1::むき}}アパートが少なく、借りるのが大変だ。	むき<br>むいて<br>むいた<br>むく
この自転車は背が高い人{{c1::むける}}のものなので、子どもの君にはまだ乗りこなせないよ。（無理だよ）	むける<br>むけ<br>むけだ<br>むく
